,wordone,wordtwo,mean,sim,LCS
0,love,sex,6.77,0.21,biological process
1,tiger,cat,7.35,1.33,mammal
2,tiger,tiger,10.0,10.0,tiger
3,book,paper,7.46,2.34,publication
4,computer,keyboard,7.62,5.21,input-output device
5,computer,internet,7.58,4.05,infrastructure
6,plane,car,5.77,6.14,mode of transport
7,train,car,6.31,6.28,mode of transport
8,telephone,communication,7.5,0.27,academic discipline
9,television,radio,6.77,8.41,communication device
10,media,radio,7.42,0.14,first-order metaclass
11,drug,abuse,6.85,0.21,behavior
12,bread,butter,6.19,6.28,food
13,cucumber,potato,5.92,7.97,vegetable
14,doctor,nurse,7.0,8.53,health profession
15,professor,doctor,6.62,8.02,academic title
16,student,professor,6.81,4.31,occupation
17,smart,student,4.62,1.05,human
18,smart,stupid,5.81,2.93,music term
19,company,stock,7.08,1.23,agent
20,stock,market,8.08,0.95,agent
21,stock,phone,1.62,1.22,legal concept
22,stock,CD,1.31,1.43,list
23,stock,jaguar,0.92,0.13,first-order metaclass
24,stock,egg,1.81,5.52,food
25,fertility,egg,6.69,0.03,capability
26,stock,live,3.73,1.43,list
27,stock,life,0.92,1.17,organism
28,book,library,7.46,1.24,symbol
29,bank,money,8.12,4.68,economic branch
30,wood,forest,7.73,10.0,forest
31,money,cash,9.15,10.0,money
32,professor,cucumber,0.31,0.14,first-order metaclass
33,king,cabbage,0.23,0.15,first-order metaclass
34,king,queen,8.58,10.0,monarch
35,king,rook,5.92,9.35,chess terminology
36,bishop,rabbi,6.69,0.03,concept
37,Jerusalem,Israel,8.46,5.78,state
38,Jerusalem,Palestinian,7.65,2.23,Wikimedia disambiguation page
39,holy,sex,1.62,2.23,Wikimedia disambiguation page
40,fuck,sex,9.44,0.18,human behaviour
41,Maradona,football,8.62,2.55,Wikimedia disambiguation page
42,football,soccer,9.03,10.0,association football
43,football,basketball,6.81,8.5,ball
44,football,tennis,6.63,7.26,type of sport
45,tennis,racket,7.56,9.62,tennis
46,Arafat,peace,6.73,0.17,state
47,Arafat,terror,7.65,0.26,academic discipline
48,Arafat,Jackson,2.5,3.64,commune
49,law,lawyer,8.38,0.18,first-order metaclass
50,movie,star,7.38,0.17,class
51,movie,popcorn,6.19,0.1,artificial physical object
52,movie,critic,6.73,0.07,Wikidata metaclass
53,movie,theater,7.92,0.22,genre
54,physics,proton,8.12,0.14,first-order metaclass
55,physics,chemistry,7.35,0.31,academic discipline
56,space,chemistry,4.88,0.22,knowledge
57,alcohol,chemistry,5.54,0.16,first-order metaclass
58,vodka,gin,8.46,8.54,liquor
59,vodka,brandy,8.13,8.69,liquor
60,drink,car,3.04,0.24,activity
61,drink,ear,1.31,1.46,anatomical structure
62,drink,mouth,5.96,6.33,food
63,drink,eat,6.87,7.79,food
64,baby,mother,7.85,1.24,human
65,drink,mother,2.65,1.37,group of living things
66,car,automobile,8.94,8.03,motor car
67,gem,jewel,8.96,10.0,gemstone
68,journey,voyage,9.29,8.34,travel
69,boy,lad,8.83,10.0,boy
70,coast,shore,9.1,10.0,bank
71,asylum,madhouse,8.87,10.0,psychiatric hospital
72,magician,wizard,9.02,10.0,magician
73,midday,noon,9.29,10.0,noon
74,furnace,stove,8.79,2.93,construction
75,food,fruit,7.52,7.82,food
76,bird,cock,7.1,8.7,heraldic bird
77,bird,crane,7.38,0.9,equipment
78,tool,implement,6.46,10.0,tool
79,brother,monk,6.27,0.03,concept
80,crane,implement,2.69,1.88,device
81,lad,brother,4.46,8.3,male human
82,journey,car,5.85,8.0,travel
83,monk,oracle,5.0,4.07,occupation
84,cemetery,woodland,2.08,2.76,geographic location
85,food,rooster,4.42,1.48,organism
86,coast,hill,4.38,4.05,landform
87,forest,graveyard,1.85,3.62,geographical object
88,shore,woodland,3.08,2.19,geographical object
89,monk,slave,0.92,4.32,rank
90,coast,forest,3.15,3.76,physico-geographical object
91,lad,wizard,0.92,1.19,item with given name property
92,chord,smile,0.54,0.03,concept
93,glass,magician,2.08,0.2,activity
94,noon,string,0.54,0.08,object of group
95,rooster,voyage,0.62,0.05,Wikidata metaclass
96,money,dollar,8.42,8.73,money
97,money,cash,9.08,10.0,money
98,money,currency,9.04,9.98,money
99,money,wealth,8.27,0.03,concept
100,money,property,7.57,1.33,definition
101,money,possession,7.29,0.12,goods
102,money,bank,8.5,4.68,economic branch
103,money,deposit,7.73,0.09,goods
104,money,withdrawal,6.88,0.22,occurrence
105,money,laundering,5.65,0.22,activity
106,money,operation,3.31,4.27,economic branch
107,tiger,jaguar,8.0,1.04,taxon
108,tiger,feline,8.0,0.02,concept
109,tiger,carnivore,7.08,1.07,group of living things
110,tiger,mammal,6.85,2.16,mammal
111,tiger,animal,7.0,2.16,creature
112,tiger,organism,4.77,1.9,group of living things
113,tiger,fauna,5.62,1.14,group of living things
114,tiger,zoo,5.87,1.27,group of living things
115,psychology,psychiatry,8.08,0.31,academic discipline
116,psychology,anxiety,7.0,0.03,psychology terminology
117,psychology,fear,6.85,0.03,psychology terminology
118,psychology,depression,7.42,1.19,scientific method
119,psychology,clinic,6.58,0.11,classification system
120,psychology,doctor,6.42,0.33,academic discipline
121,psychology,Freud,8.21,0.28,academic discipline
122,psychology,mind,7.69,0.03,variable-order metaclass
123,psychology,health,7.23,0.28,academic discipline
124,psychology,science,6.71,0.58,academic discipline
125,psychology,discipline,5.58,0.65,academic discipline
126,psychology,cognition,7.48,0.44,process
127,planet,star,8.45,3.01,astronomical object type
128,planet,constellation,8.06,1.87,astronomical object type
129,planet,moon,8.08,9.42,planetary system
130,planet,sun,8.02,1.61,astronomical object type
131,planet,galaxy,8.11,2.93,astronomical object type
132,planet,space,7.92,2.57,space
133,planet,astronomer,7.94,0.15,first-order metaclass
134,precedent,example,5.85,0.03,concept
135,precedent,information,3.85,0.05,abstract object
136,precedent,cognition,2.81,0.35,occurrence
137,precedent,law,6.65,4.39,legal transaction
138,precedent,collection,2.5,0.09,object of group
139,precedent,group,1.77,1.24,element
