,wordone,wordtwo,mean,sim,LCS
0,wife,husband,2.3,1.94,affinity
1,book,text,6.35,1.77,text
2,groom,bride,3.17,0.28,Wikidata metaclass
3,night,day,1.88,0.94,day
4,south,north,2.2,2.37,cardinal direction
5,plane,airport,3.65,0.53,geometric concept
6,uncle,aunt,5.5,0.88,kinship
7,horse,mare,8.33,1.16,horse
8,bottom,top,0.7,3.13,down and up
9,friend,buddy,8.78,0.79,companionship
10,student,pupil,9.35,10.0,student
11,world,globe,6.67,0.34,abstract object
12,leg,arm,2.88,1.94,anatomical region
13,plane,jet,8.1,3.53,powered aircraft
14,woman,man,3.33,3.82,gender identity
15,horse,colt,7.07,1.09,horse
16,actress,actor,7.12,10.0,actor
17,teacher,instructor,9.25,1.01,educator
18,movie,film,8.87,10.0,film
19,bird,hawk,7.85,0.31,class
20,word,dictionary,3.68,1.26,sentence
21,money,salary,7.88,0.39,term
22,dog,cat,1.75,0.66,class
23,area,region,9.47,10.0,zone
24,navy,army,6.43,2.53,military branch
25,book,literature,7.53,0.88,text
26,clothes,closet,3.27,0.46,product
27,sunset,sunrise,2.47,0.42,day
28,child,adult,2.98,0.47,organism
29,cow,cattle,9.52,10.0,cattle
30,book,story,5.63,0.84,work
31,winter,summer,2.38,0.48,recurring event
32,taxi,cab,9.2,10.0,taxi
33,tree,maple,5.53,0.74,charge
34,bed,bedroom,3.4,1.84,sleeping place
35,roof,ceiling,7.58,0.95,architectural element
36,disease,infection,7.15,2.23,disease
37,arm,shoulder,4.85,1.3,anatomical region
38,sheep,lamb,8.42,2.11,domestic sheep
39,lady,gentleman,3.42,1.61,adult
40,boat,anchor,2.25,0.35,first-order metaclass
41,priest,monk,6.28,1.67,religious occupation
42,toe,finger,4.68,2.27,autopod region
43,river,stream,7.3,10.0,watercourse
44,anger,fury,8.73,0.28,psychology terminology
45,date,calendar,4.42,1.3,calendar date
46,sea,ocean,8.27,0.41,geographic location
47,second,minute,4.62,5.91,second
48,hand,thumb,3.88,3.22,hand
49,wood,log,7.3,1.0,tree
50,mud,dirt,7.32,0.35,base material
51,hallway,corridor,9.28,10.0,corridor
52,way,manner,7.62,10.0,means
53,mouse,cat,1.12,0.55,artificial entity
54,cop,sheriff,9.05,1.95,law enforcement officer
55,death,burial,4.93,0.44,occurrence
56,music,melody,6.98,0.91,musical work
57,beer,alcohol,7.5,0.54,group or class of chemical substances
58,mouth,lip,7.1,1.99,subdivision of face
59,storm,hurricane,6.38,1.86,meteorological disaster
60,tax,income,2.38,0.36,term
61,flower,violet,6.95,0.38,anatomical structure
62,paper,cardboard,5.38,2.78,paper
63,floor,ceiling,1.73,0.95,architectural element
64,beach,seashore,8.33,4.13,shore
65,rod,curtain,3.03,0.32,artificial entity
66,hound,fox,2.38,0.33,polyphyletic common name
67,street,alley,5.48,1.31,street
68,boat,deck,4.28,0.72,watercraft
69,car,horn,2.57,0.64,transport
70,friend,guest,4.25,0.29,subject
71,employer,employee,3.65,0.59,concept
72,hand,wrist,3.97,2.08,free upper limb segment
73,ball,cannon,2.58,0.37,class
74,alcohol,brandy,6.98,0.67,Q24700923
75,victory,triumph,8.98,3.03,victory
76,telephone,booth,3.63,0.32,work
77,door,doorway,5.4,10.0,doorway
78,motel,inn,8.17,1.21,hotel building
79,clothes,cloth,5.47,1.9,clothing
80,steak,meat,7.47,0.51,food
81,nail,thumb,3.55,0.34,anatomical structure
82,band,orchestra,7.08,2.1,musical group
83,book,bible,5.0,0.44,text
84,business,industry,7.02,1.54,economic activity
85,winter,season,6.27,1.06,season
86,decade,century,3.48,4.0,decade
87,alcohol,gin,8.65,0.66,Q24700923
88,hat,coat,2.67,0.88,clothing
89,window,door,3.33,10.0,window
90,arm,wrist,3.57,1.08,subdivision of cardinal body part
91,house,apartment,5.8,1.04,house
92,glass,crystal,6.27,1.35,solid
93,wine,brandy,5.15,1.46,alcoholic beverage
94,creator,maker,9.62,0.53,concept
95,dinner,breakfast,3.33,0.9,meals
96,arm,muscle,3.72,0.48,first-order metaclass
97,bubble,suds,8.57,0.28,physical system
98,bread,flour,3.33,9.09,flour
99,death,tragedy,5.8,0.44,metaclass
100,absence,presence,0.4,0.58,philosophical concept
101,gun,cannon,5.68,3.07,weapon family
102,grass,blade,4.57,0.33,product
103,ball,basket,1.67,1.63,sports equipment
104,hose,garden,1.67,0.37,artificial entity
105,boy,kid,7.5,2.07,child
106,church,choir,2.95,0.94,church building
107,clothes,drawer,3.02,0.42,work
108,tower,bell,1.9,3.7,bell tower
109,father,parent,7.07,3.65,parent
110,school,grade,4.42,0.47,first-order metaclass
111,parent,adult,5.37,0.36,variable-order metaclass
112,bar,jail,1.9,0.84,facility
113,car,highway,3.4,0.45,classification system
114,dictionary,definition,6.25,0.87,written work
115,door,cellar,1.97,3.47,architectural element
116,army,legion,5.95,4.88,army
117,metal,aluminum,7.25,0.76,base material
118,chair,bench,6.67,10.0,seat
119,cloud,fog,6.0,3.39,cloud
120,boy,son,6.75,0.87,male human
121,water,ice,6.47,10.0,ice
122,bed,blanket,3.02,1.86,sleep
123,attorney,lawyer,9.35,10.0,lawyer
124,area,zone,8.33,10.0,level
125,business,company,9.02,8.29,company
126,clothes,fabric,5.87,3.83,clothing
127,sweater,jacket,7.15,0.78,clothing
128,money,capital,6.67,0.48,goods
129,hand,foot,4.17,3.84,autopod region
130,alcohol,cocktail,6.73,0.86,Q24700923
131,yard,inch,3.78,0.74,unit of length
